hour	cf
533	0.341
534	0.308
535	0.272
536	0.244
537	0.24
538	0.245
539	0.202
540	0.153
541	0.148
542	0.145
543	0.139
544	0.122
545	0.101
546	0.101
547	0.103
548	0.122
549	0.135
550	0.145
551	0.154
552	0.17
553	0.205
554	0.245
555	0.244
556	0.227
557	0.225
558	0.192
559	0.169
560	0.124
561	0.095
562	0.105
563	0.146
564	0.247
565	0.374
566	0.529
567	0.68
568	0.732
569	0.692
570	0.642
571	0.593
572	0.545
573	0.555
574	0.577
575	0.594
576	0.61
577	0.624
578	0.633
579	0.652
580	0.654
581	0.647
582	0.668
583	0.622
584	0.687
585	0.696
586	0.689
587	0.643
588	0.608
589	0.584
590	0.629
591	0.644
592	0.597
593	0.614
594	0.633
595	0.674
596	0.653
597	0.6
598	0.622
599	0.624
600	0.598
601	0.558
602	0.624
603	0.657
604	0.692
605	0.73
606	0.731
607	0.729
608	0.749
609	0.787
610	0.797
611	0.751
612	0.68
613	0.671
614	0.616
615	0.471
616	0.319
617	0.307
618	0.466
619	0.743
620	0.964
621	0.99
622	0.989
623	0.983
624	0.975
625	0.968
626	0.969
627	0.966
628	0.963
629	0.947
630	0.928
631	0.902
632	0.887
633	0.853
634	0.721
635	0.627
636	0.575
637	0.538
638	0.498
639	0.44
640	0.365
641	0.305
642	0.242
643	0.205
644	0.181
645	0.159
646	0.15
647	0.142
648	0.123
649	0.103
650	0.099
651	0.102
652	0.095
653	0.085
654	0.087
655	0.09
656	0.098
657	0.11
658	0.124
659	0.112
660	0.146
661	0.268
662	0.362
663	0.407
664	0.398
665	0.437
666	0.465
667	0.487
668	0.475
669	0.432
670	0.371
671	0.319
672	0.291
673	0.268
674	0.283
675	0.242
676	0.228
677	0.235
678	0.28
679	0.348
680	0.435
681	0.495
682	0.463
683	0.418
684	0.448
685	0.486
686	0.481
687	0.462
688	0.448
689	0.441
690	0.444
691	0.415
692	0.416
693	0.382
694	0.362
695	0.366
696	0.35
697	0.319
698	0.287
699	0.255
700	0.215
701	0.17
702	0.177
703	0.271
704	0.305
705	0.294
706	0.258
707	0.186
708	0.136
709	0.155
710	0.151
711	0.117
712	0.079
713	0.064
714	0.054
715	0.043
716	0.043
717	0.072
718	0.123
719	0.153
720	0.15
721	0.178
722	0.212
723	0.231
724	0.269
725	0.319
726	0.38
727	0.445
728	0.498
729	0.56
730	0.588
731	0.606
732	0.675
733	0.715
734	0.756
735	0.779
736	0.772
737	0.748
738	0.7
739	0.641
740	0.595
741	0.542
742	0.527
743	0.504
744	0.453
745	0.44
746	0.435
747	0.432
748	0.417
749	0.4
750	0.373
751	0.344
752	0.316
753	0.298
754	0.241
755	0.177
756	0.181
757	0.242
758	0.25
759	0.272
760	0.332
761	0.4
762	0.462
763	0.478
764	0.476
765	0.471
766	0.469
767	0.462
768	0.447
769	0.411
770	0.406
771	0.397
772	0.377
773	0.35
774	0.314
775	0.289
776	0.253
777	0.223
778	0.182
779	0.12
780	0.089
781	0.096
782	0.094
783	0.081
784	0.084
785	0.09
786	0.092
787	0.113
788	0.137
789	0.139
790	0.154
791	0.198
792	0.25
793	0.294
794	0.316
795	0.319
796	0.336
797	0.381
798	0.425
799	0.572
800	0.584
801	0.423
802	0.362
803	0.269
804	0.172
805	0.089
806	0.042
807	0.052
808	0.145
809	0.297
810	0.433
811	0.502
812	0.539
813	0.649
814	0.717
815	0.824
816	0.779
817	0.721
818	0.684
819	0.862
820	0.886
821	0.838
822	0.756
823	0.674
824	0.571
825	0.421
826	0.316
827	0.229
828	0.19
829	0.214
830	0.197
831	0.151
832	0.122
833	0.107
834	0.076
835	0.049
836	0.032
837	0.035
838	0.074
839	0.167
840	0.286
841	0.404
842	0.468
843	0.484
844	0.483
845	0.537
846	0.593
847	0.646
848	0.699
849	0.771
850	0.814
851	0.909
852	0.941
853	0.933
854	0.869
855	0.84
856	0.854
857	0.808
858	0.682
859	0.664
860	0.663
861	0.62
862	0.583
863	0.554
864	0.52
865	0.517
866	0.52
867	0.515
868	0.524
869	0.476
870	0.419
871	0.49
872	0.462
873	0.423
874	0.441
875	0.52
876	0.594
877	0.585
878	0.586
879	0.56
880	0.466
881	0.297
882	0.223
883	0.235
884	0.278
885	0.291
886	0.255
887	0.173
888	0.042
889	0.198
890	0.428
891	0.56
892	0.575
893	0.527
894	0.525
895	0.557
896	0.553
897	0.508
898	0.421
899	0.404
900	0.456
901	0.525
902	0.536
903	0.475
904	0.428
905	0.431
906	0.395
907	0.371
908	0.404
909	0.471
910	0.554
911	0.649
912	0.749
913	0.797
914	0.829
915	0.847
916	0.876
917	0.905
918	0.936
919	0.956
920	0.972
921	0.985
922	0.989
923	0.986
924	0.986
925	0.989
926	0.989
927	0.987
928	0.98
929	0.973
930	0.972
931	0.971
932	0.977
933	0.985
934	0.99
935	0.989
936	0.988
937	0.989
938	0.99
939	0.988
940	0.981
941	0.96
942	0.92
943	0.853
944	0.752
945	0.653
946	0.533
947	0.468
948	0.474
949	0.467
950	0.444
951	0.365
952	0.31
953	0.275
954	0.252
955	0.228
956	0.212
957	0.189
958	0.158
959	0.136
960	0.126
961	0.134
962	0.165
963	0.227
964	0.325
965	0.414
966	0.459
967	0.469
968	0.504
969	0.557
970	0.548
971	0.583
972	0.673
973	0.827
974	0.881
975	0.895
976	0.894
977	0.877
978	0.788
979	0.696
980	0.655
981	0.619
982	0.585
983	0.53
984	0.47
985	0.428
986	0.364
987	0.313
988	0.239
989	0.153
990	0.087
991	0.034
992	0.017
993	0.034
994	0.086
995	0.114
996	0.14
997	0.171
998	0.199
999	0.24
1000	0.265
1001	0.319
1002	0.401
1003	0.456
1004	0.503
1005	0.551
1006	0.551
1007	0.578
1008	0.584
1009	0.6
1010	0.649
1011	0.721
1012	0.733
1013	0.756
1014	0.775
1015	0.762
1016	0.771
1017	0.784
1018	0.797
1019	0.704
1020	0.605
1021	0.571
1022	0.559
1023	0.517
1024	0.411
1025	0.292
1026	0.252
1027	0.31
1028	0.368
1029	0.431
1030	0.557
1031	0.695
1032	0.712
1033	0.745
1034	0.793
1035	0.81
1036	0.806
1037	0.792
1038	0.778
1039	0.775
1040	0.776
1041	0.779
1042	0.769
1043	0.768
1044	0.793
1045	0.817
1046	0.817
1047	0.813
1048	0.806
1049	0.797
1050	0.786
1051	0.778
1052	0.775
1053	0.762
1054	0.752
1055	0.714
1056	0.712
1057	0.663
1058	0.614
1059	0.598
1060	0.616
1061	0.616
1062	0.605
1063	0.595
1064	0.589
1065	0.56
1066	0.551
1067	0.564
1068	0.6
1069	0.615
1070	0.616
1071	0.625
1072	0.641
1073	0.655
1074	0.634
1075	0.624
1076	0.619
1077	0.586
1078	0.563
1079	0.58
1080	0.593
1081	0.6
1082	0.633
1083	0.65
1084	0.659
1085	0.638
1086	0.654
1087	0.665
1088	0.671
1089	0.676
1090	0.674
1091	0.667
1092	0.694
1093	0.735
1094	0.755
1095	0.77
1096	0.74
1097	0.733
1098	0.735
1099	0.768
1100	0.798
1101	0.772
1102	0.785
1103	0.809
1104	0.793
1105	0.764
1106	0.732
1107	0.686
1108	0.627
1109	0.56
1110	0.52
1111	0.481
1112	0.464
1113	0.485
1114	0.52
1115	0.64
1116	0.691
1117	0.762
1118	0.818
1119	0.804
1120	0.772
1121	0.764
1122	0.772
1123	0.763
1124	0.733
1125	0.779
1126	0.814
1127	0.84
1128	0.882
1129	0.895
1130	0.888
1131	0.881
1132	0.847
